"YYYYMMDD","SP000008027","SP000008181","SP000008202","SP000008215","SP000008280","SP000008410"
19790101,0.6,11.4,4.6,-2,6.4,9.4
19790102,-1.4,3.8,2.2,-3.6,3.4,10
19790103,-0.8,-0.2,3.2,-2.4,3.4,9
19790104,8,9.6,2.8,-3.6,4.2,8
19790105,5.6,3.6,-1,-3.6,2,7.6
19790106,5.6,5.4,-2,-4.4,3.6,7
19790107,4.2,3,3.1,-1,6,12.8
19790108,6.4,8.2,2.3,-0.2,5.4,8.8
19790109,5.2,7.8,2.6,-1.4,3.8,7.4
19790110,4.4,5.4,0.6,-4.4,0,3.6
19790111,7.6,9,7.2,0,5.4,10
19790112,7.2,5.8,4.2,0.2,6.4,6.4
19790113,7.4,4.8,1.6,-0.6,0.6,2.4
19790114,6.4,5.6,-2,1,1.4,5
19790115,5.2,5.6,-1,0.8,3.6,3.4
19790116,3.4,3,-1.2,0.4,2.2,4.6
19790117,1.6,0.4,-1.6,-3.2,0.6,5
19790118,8,6.4,2,-1.2,4.4,9.4
19790119,5,10.4,2.2,0,6.6,11.6
19790120,5,10,-1.2,-5.6,3,7.4
19790121,3.4,5,0.5,-3.4,2.8,8.4
19790122,8.6,10.4,5,0.2,5.4,9.6
19790123,7.6,11.2,4,0,4.2,10
19790124,4,5.4,2.6,0,3.4,8
19790125,4,8.4,3.9,0,5.4,10.4
19790126,7.4,5.2,7,0.2,6.6,12.4
19790127,4.6,6.6,4.6,0.8,8,12.6
19790128,3.4,9.2,0.6,-4.6,2.6,6.6
19790129,5,2.8,2.6,-4.8,1,2.8
19790130,3,5.2,-0.8,-5.4,0.2,7
19790131,4.6,3.6,-3,-8.8,-5,4.6
19790201,NaN,1.8,NaN,NaN,NaN,7
19790202,NaN,6,NaN,NaN,NaN,10.2
19790203,NaN,7.8,NaN,NaN,NaN,13
19790204,NaN,5.6,NaN,NaN,NaN,12.4
19790205,NaN,11.8,NaN,NaN,NaN,14
19790206,NaN,10.5,NaN,NaN,NaN,14.2
19790207,NaN,8.4,NaN,NaN,NaN,13
19790208,NaN,6.8,NaN,NaN,NaN,13
19790209,NaN,7.2,NaN,NaN,NaN,9.4
19790210,NaN,10.4,NaN,NaN,NaN,12.4
19790211,NaN,10.8,NaN,NaN,NaN,12
19790212,NaN,10,NaN,NaN,NaN,9.2
19790213,NaN,9,NaN,NaN,NaN,7
19790214,NaN,7.4,NaN,NaN,NaN,6.4
19790215,NaN,3.8,NaN,NaN,NaN,7
19790216,NaN,1.4,NaN,NaN,NaN,4
19790217,NaN,1.4,NaN,NaN,NaN,-3
19790218,NaN,3,NaN,NaN,NaN,1.6
19790219,NaN,1.8,NaN,NaN,NaN,4
19790220,NaN,5,NaN,NaN,NaN,4.6
19790221,NaN,5.2,NaN,NaN,NaN,8.2
19790222,NaN,4,NaN,NaN,NaN,9.6
19790223,NaN,4,NaN,NaN,NaN,2
19790224,NaN,0.4,NaN,NaN,NaN,2
19790225,NaN,0.6,NaN,NaN,NaN,0.6
19790226,NaN,5,NaN,NaN,NaN,2
19790227,NaN,2.2,NaN,NaN,NaN,-1
19790228,NaN,2,NaN,NaN,NaN,1
19790301,2.8,5.8,-2,-8.6,-1,2.8
19790302,4,4.8,-3,-7.4,-4,-2
19790303,6.6,3.6,-1.8,-4,-5.4,0
19790304,6.6,6.4,0.3,0.6,1,2
19790305,6,7.8,6.2,0.8,7,4
19790306,6,6.8,6.2,0.8,6.2,10
19790307,5.6,5.4,4.8,-0.6,6,12.4
19790308,4,7.5,4.5,0,5,10.4
19790309,6,6.8,1,-1,3.6,9.4
19790310,9,6.8,1.8,-1,0.6,5
19790311,9,5.6,3,1.6,3.4,5
19790312,9,7.8,1,4.6,2.6,6.6
19790313,8.6,8,2.6,3.8,3.4,7.4
19790314,4.4,7.2,0.6,-5.8,4.6,10
19790315,2.6,5.8,-0.8,-7.2,-0.4,5
19790316,2.4,3,0.2,-7.2,-1,0.6
19790317,5.6,6.6,0.9,-3.2,3,8
19790318,5,6.2,0,-5.6,2.6,6
19790319,5.2,7.4,0.4,-5,3.4,8
19790320,5.6,6.2,1,-6.2,1.6,5
19790321,5.6,5,0.6,-6.2,2.4,6.4
19790322,5.6,3.6,0.7,-4.8,-1.6,5
19790323,9,6,5.8,-0.8,4.4,9.2
19790324,9,6.4,8.6,2.2,8,13.8
19790325,13,8.4,9.6,2.2,9,12
19790326,6,11.4,4.6,-0.6,9,13.4
19790327,5.6,10,1,-4.6,6,10.6
19790328,2.6,7.6,1.4,-5.2,4,9.6
19790329,1.4,6,-0.1,-7.4,0,6.4
19790330,2,3.2,-1.6,-8.2,-1.8,4.6
19790331,4.6,6.2,-1.4,-7,-2.2,3
19790401,6.6,5.4,-1.2,-4.6,-1,2
19790402,6.2,5.8,2,-3.2,0.4,4
19790403,5,5.4,4.2,-3.2,4,5.2
19790404,3.4,6.2,2.2,-3.2,3.6,3.4
19790405,3.2,6.6,-0.4,-5.8,2.8,7.2
19790406,2.4,5,-0.4,-6,-1.4,4
19790407,4.2,3.2,-0.6,-4.4,-1,8
19790408,11.2,7,3.8,1.6,4.6,7.6
19790409,12.8,9,8.2,2.4,6.6,14
19790410,11.6,10.2,3.7,-3,6.2,10
19790411,8.6,9.4,3.3,-4.4,4.2,8.8
19790412,10.4,4.6,3.8,-2.8,2.2,9.2
19790413,10.8,6.4,3,-1.6,3,8.6
19790414,6.6,8,2.6,-4.4,3.6,7
19790415,8,9.6,1,-2.4,3.6,5.4
19790416,7.2,6.4,2,0,3,12
19790417,8,10.6,3.4,-1.6,3,8.6
19790418,5.8,6.2,2.4,-5,3.2,9
19790419,5.4,7,0,-6.4,0,7
19790420,7.6,5.4,2.2,-0.8,1.6,5
19790421,8,5.8,3.2,1.6,2.2,7
19790422,9.4,10.4,6,1.2,5.4,8.8
19790423,8.6,9.8,5.8,3.2,7,11
19790424,5.8,8.8,4,-3,5.4,13.6
19790425,5.8,4,1,-3.6,2,6
19790426,6,7,2,-4,1,4.6
19790427,6.2,5.6,-0.6,-5,-0.8,8.4
19790428,7.4,4,-1.5,-5,-1.4,7.8
19790429,6.8,8,1.8,-1.2,2.4,5
19790430,6.4,7.2,-0.2,-2.2,-0.4,8
19790501,8,8,3.9,2.2,2.4,6
19790502,6,8,5.5,1.6,8.4,8
19790503,5.4,11.8,1,1.2,7,7.6
19790504,6,9.4,2,1.8,8.6,9.4
19790505,5.4,8,2.6,3,6.2,15
19790506,7.4,5.4,6.8,3.4,6.6,14
19790507,6,9.6,5.2,3,6.6,12.4
19790508,8.6,7.6,4.3,2.2,7.6,10
19790509,9,8.8,4.2,1.4,4.6,8.4
19790510,9,8,5.4,4.2,5.4,10
19790511,9.2,10.2,6.4,7.6,6.6,10.4
19790512,10.6,10,8,11.6,7.4,11
19790513,10.4,11,9.5,12,9.6,12
19790514,12,11.4,8.4,13,7.6,13
19790515,13,11,9.4,11.4,11,13
19790516,10.6,12,10.5,11,11,14
19790517,7.6,11.5,8.2,1.4,10,11
19790518,7.6,14.2,3.5,0,11.8,14.4
19790519,9.4,14,2.9,-3,6.6,9
19790520,8.4,10.8,4.2,-2.6,5.2,9.6
19790521,11.4,10,5.4,3.2,4.6,9
19790522,10.6,10.4,6.5,3.6,6.2,10.4
19790523,7.6,11,5.6,0,9.2,11
19790524,6.4,12,3,-1.6,12,10
19790525,8.8,13.4,7.4,3.4,10.4,10.6
19790526,8.8,14,9,3.2,10.2,12
19790527,8.4,14.4,9,3,11.6,13
19790528,18,13.6,11,6.8,10,11
19790529,19.6,15,11.5,7.8,14,16
19790530,10,13.2,7.2,4,11.6,13.6
19790531,9.4,14,4.4,2.4,12.8,13.4
19790601,11,16,8,5.8,12.4,10
19790602,10.8,15.2,9.5,8.6,11,9
19790603,13.6,15.8,12.4,8.8,11.4,14.8
19790604,12,15.4,10.4,9.2,11.2,15.4
19790605,11.4,16.8,10.2,9.6,12,13.2
19790606,11,16.2,9.3,9.2,9.6,16.4
19790607,10.4,14.6,6.9,9,12.4,17
19790608,10.2,15.8,10.8,11,14,15
19790609,16.2,14.6,13.6,9,13.4,19
19790610,13.8,14,10.6,7.6,13,16.6
19790611,13,16.4,8.8,8.8,13,14
19790612,15,17.4,10.6,7,15,15
19790613,12.4,19,11.6,6,15.6,15
19790614,11.2,17.8,11.2,4.8,12.2,13
19790615,11.8,16,8,5.6,9.6,13
19790616,11,16,10.5,6.4,12.4,15.4
19790617,12,14.6,7.2,8.4,12,15.2
19790618,12.4,15,7.7,10,11,15
19790619,13.6,13.8,9.6,13.4,11.4,14.4
19790620,14.4,13.4,11.6,13.4,13,15
19790621,13,15.6,12.2,14.8,14.4,16
19790622,14.6,17.6,12.5,14,14.4,15
19790623,13.2,17.4,11.6,12,15,16
19790624,12.6,15.6,11,10.8,13.2,17.6
19790625,12,15.4,11.2,10,16.6,18
19790626,14.6,16.4,16.4,10.6,15.6,17.4
19790627,14.2,16.6,15.4,9.2,14.6,18.2
19790628,14,17.8,13.5,9.2,14.6,18
19790629,15,17.2,12,9.6,13.4,19
19790630,13.6,16.6,14.2,9.8,15.6,20
19790701,13.2,18.4,9.6,4.2,15,17
19790702,12.6,16.4,7.4,2.8,12.4,16
19790703,11.2,16.8,7.4,7.6,12.2,18
19790704,13.4,16.2,8.6,10,12.4,14.6
19790705,14.4,16,10.8,9.8,12.4,17
19790706,14.8,14.6,12.2,10.2,12,17.4
19790707,16,17,14.2,11.2,11.6,17
19790708,15.4,17,14,14.8,11.6,17.4
19790709,15.6,14.6,15.8,17.8,17,17.2
19790710,16.6,16.4,15.5,10.2,20.6,22.6
19790711,15.4,19,14.4,7.8,18.2,20
19790712,14,20,13.2,7,15.6,17
19790713,14.2,18.6,10.2,8.2,13.6,16.2
19790714,13.6,18.8,11.6,10.8,13.4,18
19790715,15,15.8,13.5,12.6,14.6,20
19790716,14.6,16.8,14.1,12.6,16.6,18.4
19790717,15.4,14,14.4,17.8,18.4,15.4
19790718,16.2,18.4,14.9,13.6,16.6,16.4
19790719,16.4,18.4,15.5,8,16.6,20
19790720,15.4,19.4,12.4,7.4,14,17
19790721,15.2,19.2,13.6,11.8,16,18.6
19790722,15,19.2,14,10,17.6,17
19790723,15,19.4,12,10,16.4,16
19790724,13.4,18.6,10.8,12.8,16.6,20
19790725,15.4,18.4,17.5,14,15.6,21
19790726,18.2,17.2,16.5,16,16,20
19790727,16.2,18.4,14.2,17.2,18,20.4
19790728,17.2,20.2,14.4,18,18.4,21
19790729,17.2,20.2,16,18.8,16,19
