YYYYMMDD, SP000008027, SP000008181, SP000008202, SP000008215, SP000008280, SP000008410
19570101,         2.0,         0.0,         2.0,         2.0,         3.0,         NaN
19570102,        10.0,         0.0,         0.0,         0.0,         7.0,         NaN
19570103,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570104,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570105,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570106,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570107,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570108,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570109,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570110,         4.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570111,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570112,        15.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570113,        12.0,         0.0,         0.0,         6.0,         0.0,         NaN
19570114,         8.0,         0.0,         0.0,         8.0,         5.0,         NaN
19570115,         0.0,         0.0,        10.0,         3.0,        21.0,         NaN
19570116,         3.0,         0.0,        22.0,         5.0,         0.0,         NaN
19570117,         0.0,         0.0,         0.0,         3.0,         0.0,         NaN
19570118,         0.0,         0.0,         3.0,         0.0,         0.0,         NaN
19570119,         0.0,         0.0,         0.0,        14.0,         0.0,         NaN
19570120,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570121,         0.0,        65.0,         0.0,         0.0,         1.0,         NaN
19570122,         0.0,        12.0,         0.0,         0.0,         0.0,         NaN
19570123,         0.0,         0.0,        16.0,         0.0,        22.0,         NaN
19570124,         2.0,         0.0,        16.0,         4.0,         7.0,         NaN
19570125,         3.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570126,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570127,         2.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570128,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570129,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570130,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570131,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570201,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570202,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570203,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570204,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570205,         0.0,         0.0,        32.0,         2.0,         0.0,         NaN
19570206,         1.0,         0.0,         0.0,         3.0,         0.0,         NaN
19570207,         0.0,         0.0,        40.0,         0.0,         0.0,         NaN
19570208,         0.0,         0.0,        57.0,         6.0,         0.0,         NaN
19570209,         1.0,         0.0,        38.0,         0.0,        16.0,         NaN
19570210,         1.0,         0.0,         0.0,         3.0,         0.0,         NaN
19570211,         3.0,         0.0,         6.0,         0.0,         0.0,         NaN
19570212,         0.0,         0.0,         0.0,         4.0,         0.0,         NaN
19570213,         9.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570214,         1.0,         0.0,        42.0,         0.0,         0.0,         NaN
19570215,         7.0,         0.0,        25.0,        15.0,         0.0,         NaN
19570216,         0.0,         0.0,        88.0,         6.0,         0.0,         NaN
19570217,        24.0,       159.0,        20.0,        26.0,        83.0,         NaN
19570218,         5.0,         0.0,         0.0,         7.0,         0.0,         NaN
19570219,         3.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570220,         0.0,         0.0,         5.0,        11.0,         1.0,         NaN
19570221,         0.0,         0.0,         0.0,         0.0,         0.0,         NaN
19570222,         3.0,         0.0,         0.0,         0.0,         0.0,         NaN
